Name,File
Set.indicator_rel_indicator,Mathlib.Algebra.Group.Indicator
Finset.induction_on',Mathlib.Data.Finset.Insert
Std.TreeSet.getLED,Std.Data.TreeSet.Basic
AkraBazziRecurrence.min_bi,Mathlib.Computability.AkraBazzi.AkraBazzi
controlAt,Init.Control.Basic
Fin.foldrM.loop,Init.Data.Fin.Fold
List.prod_hom_rel,Mathlib.Algebra.BigOperators.Group.List.Defs
Lean.exprDependsOn,Lean.MetavarContext
Lean.PersistentEnvExtension.getState,Lean.Environment
Lean.LocalContext.anyM,Lean.LocalContext
rel_sup_add,Mathlib.Topology.Algebra.InfiniteSum.NatInt
List.filterM,Init.Data.List.Control
Lean.Meta.LazyDiscrTree.createImportedDiscrTree,Lean.Meta.LazyDiscrTree
Lean.Elab.Term.withSynthesizeLight,Lean.Elab.SyntheticMVars
Matrix.vecHead,Mathlib.Data.Fin.VecNotation
mabs_by_cases,Mathlib.Algebra.Order.Group.Unbundled.Abs
TopCat.Presheaf.SheafConditionEqualizerProducts.piInters,Mathlib.Topology.Sheaves.SheafCondition.EqualizerProducts
CategoryTheory.Paths.induction_fixed_source,Mathlib.CategoryTheory.PathCategory.Basic
GenContFract.convs',Mathlib.Algebra.ContinuedFractions.Basic
Lean.Order.fun_sup,Init.Internal.Order.Basic
cfc_predicate,Mathlib.Analysis.CStarAlgebra.ContinuousFunctionalCalculus.Unital
MvQPF.recF,Mathlib.Data.QPF.Multivariate.Constructions.Fix
EReal.induction₂_symm_neg,Mathlib.Data.EReal.Operations
Lean.Grind.intro_with_eq,Init.Grind.Lemmas
Lean.Core.withCurrHeartbeats,Lean.CoreM
Std.HashMap.Raw.insertMany_ind,Std.Data.HashMap.RawLemmas
Lean.Meta.withCanUnfoldPred,Lean.Meta.Basic
List.Vector.last,Mathlib.Data.Vector.Basic
Array.maxWith,Batteries.Data.Array.Basic
Set.rangeSplitting,Mathlib.Data.Set.Operations
selfZPow,Mathlib.RingTheory.Localization.Away.Basic
Aesop.Script.Step.render,Aesop.Script.Step
Topology.WithScott.rec,Mathlib.Topology.Order.ScottTopology
Subgroup.closure_induction₂,Mathlib.Algebra.Group.Subgroup.Lattice
Aesop.withAesopTraceNode,Aesop.Tracing
Finset.forall_of_forall_cons,Mathlib.Data.Finset.Insert
Multiset.foldr_induction',Mathlib.Data.Multiset.MapFold
WeierstrassCurve.c₄,Mathlib.AlgebraicGeometry.EllipticCurve.Weierstrass
CategoryTheory.Sieve.ofArrows.i,Mathlib.CategoryTheory.Sites.Sieves
Lean.Compiler.LCNF.Expr.forFVarM,Lean.Compiler.LCNF.FVarUtil
Lean.Meta.withDefault,Lean.Meta.Basic
Std.DTreeMap.Internal.Impl.link2!.fun_cases,Std.Data.DTreeMap.Internal.Model
Lean.Meta.instantiateStructDefaultValueFn?,Lean.Meta.Structure
Lean.Elab.getDeclarationRange?,Lean.Elab.DeclarationRange
Traversable.foldr,Mathlib.Control.Fold
Lean.PersistentEnvExtension.findStateAsync,Lean.Environment
FormalMultilinearSeries.coeff,Mathlib.Analysis.Calculus.FormalMultilinearSeries
WellFounded.fix,Init.WF
WellFounded.min,Mathlib.Order.WellFounded
CategoryTheory.MorphismProperty.of_postcomp,Mathlib.CategoryTheory.MorphismProperty.Composition
AddQuantale.leftAddResiduation,Mathlib.Algebra.Order.Quantale
Lean.Compiler.LCNF.Simp.withDiscrCtor,Lean.Compiler.LCNF.Simp.DiscrM
BAll.imp_right,Mathlib.Logic.Basic
Poly.induction,Mathlib.NumberTheory.Dioph
VectorBundleCore.proj,Mathlib.Topology.VectorBundle.Basic
IO.withStderr,Init.System.IO
Multiset.strongDownwardInduction,Mathlib.Data.Multiset.Basic
Std.DHashMap.Const.forMUncurried,Std.Data.DHashMap.Basic
CategoryTheory.SmallObject.functorObjTgtFamily,Mathlib.CategoryTheory.SmallObject.Construction
Lean.MVarId.assign,Lean.MetavarContext
Aesop.Frontend.declareRuleSet,Aesop.Frontend.Extension
Batteries.BinaryHeap.get,Batteries.Data.BinaryHeap
Array.firstM,Init.Data.Array.Basic
Finset.prod_induction_nonempty,Mathlib.Algebra.BigOperators.Group.Finset.Defs
CliffordAlgebra.left_induction,Mathlib.LinearAlgebra.CliffordAlgebra.Fold
Sat.Valuation.mk_implies,Mathlib.Tactic.Sat.FromLRAT
Quot.lift₂,Mathlib.Data.Quot
panicWithPosWithDecl,Init.Util
MLList.getLast?,Batteries.Data.MLList.Basic
Lean.MetavarContext.isWellFormed,Lean.MetavarContext
VectorField.lieBracket,Mathlib.Analysis.Calculus.VectorField
Std.ExtHashMap.get,Std.Data.ExtHashMap.Basic
List.mapM,Init.Data.List.Control
Array.filterRevM,Init.Data.Array.Basic
RootPairing.EmbeddedG2.shortAddLongRoot,Mathlib.LinearAlgebra.RootSystem.Finite.g2
Std.DHashMap.Internal.Raw₀.Const.getD,Std.Data.DHashMap.Internal.Defs
TopCat.Presheaf.stalk,Mathlib.Topology.Sheaves.Stalks
SimpleGraph.Walk.penultimate,Mathlib.Combinatorics.SimpleGraph.Walk
essSup,Mathlib.MeasureTheory.Function.EssSup
RatFunc.induction_on',Mathlib.FieldTheory.RatFunc.Defs
Preorder.frestrictLe,Mathlib.Order.Restriction
Vector.flatMapM,Init.Data.Vector.Basic
Lean.AssocList.foldlM,Lean.Data.AssocList
ENat.recTopCoe,Mathlib.Data.ENat.Defs
Polynomial.rootOfSplits',Mathlib.Algebra.Polynomial.Splits
CauSeq.lim,Mathlib.Algebra.Order.CauSeq.Completion
List.forIn'.loop,Init.Data.List.Control
Submonoid.induction_of_closure_eq_top_right,Mathlib.Algebra.Group.Submonoid.Membership
Aesop.UnorderedArraySet.anyM,Aesop.Util.UnorderedArraySet
Array.mapFinIdxM.map,Init.Data.Array.Basic
Equiv.Perm.perm_inv_on_of_perm_on_finite,Mathlib.GroupTheory.Perm.Finite
AlgebraicGeometry.reduce_to_affine_global,Mathlib.AlgebraicGeometry.Properties
Lean.NameMapExtension.add,Batteries.Lean.NameMapAttribute
Matrix.vecCons,Mathlib.Data.Fin.VecNotation
IntermediateField.induction_on_adjoin,Mathlib.FieldTheory.IntermediateField.Adjoin.Algebra
Relation.ReflTransGen.trans_induction_on,Mathlib.Logic.Relation
List.Pairwise.rel_head_of_rel_head_head,Mathlib.Data.List.Pairwise
Lean.Elab.Command.checkValidInductiveModifier,Lean.Elab.MutualInductive
FixedDetMatrices.induction_on,Mathlib.LinearAlgebra.Matrix.FixedDetMatrices
aeSeq.fun_prop_of_mem_aeSeqSet,Mathlib.MeasureTheory.Function.AEMeasurableSequence
symm_of,Mathlib.Order.Defs.Unbundled
Lean.Meta.Instances.erase,Lean.Meta.Instances
slope,Mathlib.LinearAlgebra.AffineSpace.Slope
Array.maxI,Batteries.Data.Array.Basic
Lean.Meta.traverseForallWithPos,Lean.Meta.ExprTraverse
